id,name,birth_year,death_year,id,name,birth_year,death_year
fk__p_53916,"Thackeray, William Makepeace",1811,1863,person__25962,"Thackeray, William Makepeace",1811,1863
fk__p_53911,"Taine, Hippolyte",1828,1893,person__12913,"Taine, Hippolyte",1828,1893
fk__p_53903,"Rittner, Thaddäus",1873,1921,person__23452,"Rittner, Thaddäus",1873,1921
fk__p_53900,"Tacitus, Publius Cornelius",1000,1000,person__38345,"Tacitus, Publius Cornelius",1000,1000
fk__p_39099,"Bergmeister, Otto",1845,1918,person__6253,"Bergmeister, Otto",1845,1918
fk__p_53860,"Szeps, Julius",1867,1924,person__25793,"Szeps, Julius",1867,1924
fk__p_53858,"Szell, Georg",1897,1970,person__25788,"Szell, Georg",1897,1970
fk__p_53843,"Swinburne, Algernon Charles",1837,1909,person__5202,"Swinburne, Algernon Charles",1837,1909
fk__p_53819,Susanne,1000,1000,person__25752,Susanne,1000,1000
fk__p_39095,Berger,1000,1000,person__14055,Berger,1000,1000
fk__p_53789,"Südekum, Albert",1871,1944,person__12909,"Südekum, Albert",1871,1944
fk__p_53779,"Sturminger, Julius",1865,1942,person__25702,"Sturminger, Julius",1865,1942
fk__p_53769,"Stuck, Franz von",1863,1928,person__3904,"Stuck, Franz von",1863,1928
fk__p_53740,"Stresemann, Gustav",1878,1929,person__10103,"Stresemann, Gustav",1878,1929
fk__p_53726,"Straßmeyer, Leopold",1846,1927,person__28387,"Straßmeyer, Leopold",1846,1927
fk__p_53714,"Strafella, Franz Georg",1891,1968,person__25559,"Strafella, Franz Georg",1891,1968
fk__p_53709,"Stoessel, Hiero",1862,1925,person__25544,"Stoessel, Hiero",1862,1925
fk__p_53708,"Storm, Theodor",1817,1888,person__10061,"Storm, Theodor",1817,1888
fk__p_53693,"Stockert-Meynert, Dora von",1870,1947,person__12855,"Stockert-Meynert, Dora von",1870,1947
fk__p_53634,"Steininger, Emil",1866,1943,person__25418,"Steininger, Emil",1866,1943
fk__p_39078,"Schlesinger, Emil",1844,1899,person__24230,"Schlesinger, Emil",1844,1899
fk__p_53618,"Steidle, Richard",1881,1940,person__38692,"Steidle, Richard",1881,1940
fk__p_53600,"Zweig, Stefan",1881,1942,person__13212,"Zweig, Stefan",1881,1942
fk__p_53591,"Skrein, Stefan",1856,1931,person__12796,"Skrein, Stefan",1856,1931
fk__p_53580,"George, Stefan",1868,1933,person__2437,"George, Stefan",1868,1933
fk__p_53574,"Auspitz-Artenegg, Stefan von",1869,1945,person__13595,"Auspitz-Artenegg, Stefan von",1869,1945
fk__p_53566,"Staub, Hermann",1856,1904,person__61602,"Staub, Hermann",1856,1904
fk__p_53496,"Spinoza, Baruch de",1632,1677,person__25217,"Spinoza, Baruch de",1632,1677
fk__p_39066,"Benk, Johannes",1844,1914,person__62471,"Benk, Johannes",1844,1914
fk__p_53488,"Spielhagen, Friedrich",1829,1911,person__9958,"Spielhagen, Friedrich",1829,1911
fk__p_53480,"Sperl, Hans",1861,1959,person__38719,"Sperl, Hans",1861,1959
fk__p_53474,"Speiser, Paul",1877,1947,person__9948,"Speiser, Paul",1877,1947
fk__p_53443,"Sonnemann, Leopold",1831,1909,person__87771,"Sonnemann, Leopold",1831,1909
fk__p_53436,"Sommerstorff, Otto",1859,1934,person__21733,"Sommerstorff, Otto",1859,1934
fk__p_53424,Sophokles,1000,1000,person__2693,Sophokles,1000,1000
fk__p_39058,"Benedix, Julius Roderich",1811,1873,person__13999,"Benedix, Julius Roderich",1811,1873
fk__p_53393,"Sliwinski, Adolf",1858,1916,person__25039,"Sliwinski, Adolf",1858,1916
fk__p_53391,"Slevogt, Max",1868,1932,person__25035,"Slevogt, Max",1868,1932
fk__p_39045,"Bendiener, Oskar",1870,1940,person__13967,"Bendiener, Oskar",1870,1940
fk__p_53340,"Lewis, Sinclair",1885,1951,person__60597,"Lewis, Sinclair",1885,1951
fk__p_39039,"Tieber, Ben",1867,1925,person__26062,"Tieber, Ben",1867,1925
fk__p_53322,"Pellico, Silvio",1789,1854,person__65016,"Pellico, Silvio",1789,1854
fk__p_53299,"Schlesinger, Sigmund",1832,1918,person__12674,"Schlesinger, Sigmund",1832,1918
fk__p_53294,"Freud, Sigmund",1856,1939,person__11370,"Freud, Sigmund",1856,1939
fk__p_53273,"Lautenburg, Sigmund",1851,1918,person__2598,"Lautenburg, Sigmund",1851,1918
fk__p_53270,"Geiringer, Sigmund",1849,1927,person__28040,"Geiringer, Sigmund",1849,1927
fk__p_53267,"Bosel, Siegmund",1893,1942,person__14428,"Bosel, Siegmund",1893,1942
fk__p_53259,"Wagner, Siegfried",1869,1930,person__13027,"Wagner, Siegfried",1869,1930
fk__p_53254,"Loewy, Siegfried",1857,1931,person__12101,"Loewy, Siegfried",1857,1931
fk__p_53253,"Jacobsohn, Siegfried",1881,1926,person__11813,"Jacobsohn, Siegfried",1881,1926
fk__p_53243,"Siebert, Hans",1872,1953,person__24895,"Siebert, Hans",1872,1953
fk__p_53236,"Jones, Sidney",1861,1946,person__8041,"Jones, Sidney",1861,1946
fk__p_53230,"Shelley, Percy Bysshe",1792,1822,person__3482,"Shelley, Percy Bysshe",1792,1822
